Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Observation-pghd-bodyweight.json	1987	9	0	0	1	0	0	0	0	29	0	0	0	1	0	0	0	0	0	0	0	102	1633	0	0	0	2	0	0	0
fsh-generated/resources/Observation-pghd-cardiac-function-lowHeart-rate-event.json	1790	6	0	0	0	0	0	0	0	32	0	0	0	1	0	0	0	1	0	0	0	379	658	0	0	0	3	0	0	0
fsh-generated/resources/Observation-pghd-diving-underwater-depthg.json	1971	11	0	0	1	0	0	0	1	29	0	0	0	0	0	0	0	3	0	0	0	213	822	0	0	0	1	0	0	0
fsh-generated/resources/Observation-pghd-diving-water-temperature.json	1977	7	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	6	0	0	0	161	869	0	0	0	0	1	0	0
fsh-generated/resources/Observation-pghd-food.json	2162	11	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	5	0	0	0	233	518	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-hearing-environmental-audio-exposure.json	1815	10	0	0	1	0	0	0	1	20	0	0	0	0	0	0	0	3	0	0	0	236	650	0	0	0	0	0	0	0
fsh-generated/resources/Observation-pghd-hearingSensitivity-1.json	2084	12	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	300	892	0	0	0	1	0	0	1
fsh-generated/resources/Observation-pghd-hearingSensitivity-2.json	2085	14	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	0	0	0	148	1274	0	0	0	0	0	0	1
fsh-generated/resources/Observation-pghd-hearingSensitivity-3.json	2085	8	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	0	116	378	0	0	0	1	1	1	0
fsh-generated/resources/Observation-pghd-hearingSensitivity-4.json	2085	8	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	0	393	405	0	0	0	2	0	0	1
